name,rasa,virya,vipaka,aggravates_dosha,pacifies_dosha,region,season
Sprouted moong pulao,,,,,,,
Paneer pulao,sweet,heavy,sweet,Vata&Kapha,Pitta,Abdomen,Winter
Peanut pulao ,rasa,tikta,madhura,vatakapha,pittadushta,stomach,winter
Navratan pulao,,,,,,,
Green chickpeas pulao (Choliya pulao/Hare chane ka pulao),,,,,,,
Mutton biryani/biriyani,rasa,Tikta,Katu,Rakta,Pitta,Mamsam,Hot season
Vegetable biryani/biriyani,,,,,,,
"Lemon rice (Pulihora, Elumichai sadam, Chitranna)",,,,,,,
Sweet rice (Meethe chawal),sweet rice,sweet,cooling,none,Kapha,Ayurvedic Digestive,Winter
Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam),rasa,Madhura,Karshna,Aggravates Kapha,Pacifies Pitta,Abdomen,All Season
Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna),Sweet,pungent,acidic,aggravates Pitta,pacifies Vata & Kapha,South India,Warm Season
Spanish rice,,,,,,,
Chinese fried rice,Rasa,Tikta,Madhura,Vata,Kapha,Abhyanta,Ritu (Monsoon)
Macroni cheese pie,rasa,Tikta,Vipak,Kapha,Pitta,Urdhvaanga,Winter
Vegetable chowmein,raktashali,tikta,madhura,Vata,Kapha,Head,Autumn
Chicken chowmein,rasa,Rajasic,Amla,Aggravates_Vata,Pacifies_Kapha,Head & Stomach,All Season
Cheese noodle ring,,,,,,,
Spaghetti and cheese balls in tomato sauce,,,,,,,
Penne platter,rasa,katu,madhura,Vata,Pitta,Abdomen,Autumn
Pasta hot pot,pungent,hot,sweet,Vata,Pitta,Digestive tract,Winter
Chicken lasagne,,,,,,,
Fettuccine with spinach sauce,,,,,,,
Naan,sweet,heating,sweet,Vata & Pitta,Kapha,Digestive System,Summer
Bhatura,sweet,heavy,sweet,Vata+Pitta++,Kapha-,Upper GI,Cold Season
Idli,sweet,cooling,sweet,vata&kapha,pitta,digestive,winter
Masala dosa,sarca,tikta,madhura,Vata,Pitta,Abdomen,Winter
Semolina dosa (Suji/Rava dosa),rasa,Tikta (Bitter),Katu (Pungent),Vatta,Kapha,Agni,Winter
Onion tomato uttapam,,,,,,,
Paneer kaathi roll,,,,,,,
Makki ki roti,sweet,cooling,sweet,increases Kapha,decreases Vata,stomach,winter
Washed moong dal (Dhuli moong ki dal),sweet,cooling,sweet,increases Kapha,decreases Vata and Pitta,legs,spring and autumn
Washed urad dal (Dhuli urad ki dal),Sweet,cooling,sweet,Vata & Pitta,Kapha,Legumes,Winter
Split bengal gram with bottle gourd (Channa dal with ghiya/lauki),rasa,tikta,madhur,katu,rajas,stomach,summer
Dry washed urad,Raktasva,Katu,Madur,Vaatapitta,Kapha,Grahani,Grishma
Mixed dal,rasa,tikta,madhura,katu,rajas,all over,winter
Whole moong (Moong ki dal),Sweet,Cooling,Sweet,Increases Kapha,Decreases Vata and Pitta,Groin,Summer
Whole masoor (Masoor ki dal),rasa,Tikta (Bitter),Usna (Hot),Aggravates Vata & Pitta,Pacifies Kapha,Gramin,Winter & Summer
Whole moth (Moth ki dal),,,,,,,
Whole urad (Urad ki dal),sweet,heavy,sweet,increases Vata & Kapha,decreases Pitta,legumes,winter
Moti mahal dal (Urad rajmah mix dal),,,,,,,
Black channa curry/Bengal gram curry (Kale chane ki curry),,,,,,,
Chickpeas curry (Safed channa curry),rasa,Katu,Madhura,aggravates_Vata,Pacifies_Kapha,Abdomen,Cool
Lobia curry,,,,,,,
Soyabean curry,,,,,,,
Kidney bean curry (Rajmah curry),,,,,,,
Sambar,rasa,tikta,katu,Vata,Pitta,Rasayana,Autumn
Besan kadhi with pakodies,,,,,,,
Khatta channa,khatta channa,Sharabh,Katu,Vata,Pitta,Abdomen,Summer
Sprouted moong dal chat,rasa,Tikta,Viruddhak,Kapha,Pitta,Urdhvaanga,Grishma
Potato cauliflower (Aloo gobhi),,,,,,,
Potato capsicum (Shimla mirch aloo),,,,,,,
Cabbage and peas (Pattagobhi aur matar),Cabbage (Pattagobhi): Katu,Sheeta,Madhur,Vata,Kapha,Antarang,Sharad-Hemant
Carrot and fenugreek leaves (Gajar methi),,,,,,,
Potato fenugreek (Aloo methi),,,,,,,
Brinjal bhartha (Baingan ka bhartha),rasa,tikta,katu,Vatta,Pitta,Stomach,Autumn
Dry potato (Sookhe aloo),,,,,,,
Beans with coconut (Nariyal aur sem/phali; Beans thoran),,,,,,,
Cauliflower with coconut (Nariyal ke saath phoolgobhi),,,,,,,
Carrot and cabbage with coconut (Nariyal ke saath pattagobhi aur gajar),,,,,,,
Raw turnip with coconut ,Rasa: Tikta (Bitter),Virya: Shita (Cooling),Vipaka: Katu (Pungent),aggravates_dosha: Kapha,pacifies_dosha: Pitta,region: Bhukta-sthana (Stomach),season: Sharad-Hemant (Autumn and Early Winter)
Raw papaya with coconut (Papaya thoran),Sweet,Pitta increasing,Sweet,Aggravates Vata & Pitta,Pacifies Kapha,Abdomen & Chest,Summer
Stuffed okra (Bharwa bhindi),,,,,,,
Stuffed round gourd (Bharwa tinde),,,,,,,
Stuffed capsicum (Bharwa shimla mirch),,,,,,,
Stuffed brinjal (Bharwa baingan),sweet,heating,sweet,Pitta,Kapha,Heart,Summer
Stuffed tomatoes (Bharwa tamatar),rasa,Katu,Madhura,Vata,Pitta,Srotashtaya,Ritu-Grishma
Pea potato curry (Aloo matar),,,,,,,
Pea paneer curry (Matar paneer),,,,,,,
Pea mushroom curry (Matar mushroom),,,,,,,
Pea curry (Matar ki sabzi),,,,,,,
Pea vadi curry,,,,,,,
Paneer curry,sweet,heavy,sweet,Kapha,Pitta,Upper Body,All Season
Lotus stem curry (Kamal kakdi curry),,,,,,,
Gravy for kofta,rasa,Tikta,Katu,Vata,Kapha,Rakta,Grishma
Pea kofta curry (Matar kofta curry),,,,,,,
Spinach kofta curry (Palak kofta curry),rasa,tikta,katu,kapha,Pitta,Medium,Winter
Paneer kofta curry,sweet,heating,sweet,Vata & Kapha (aggravates),Pitta (pacifies),Upper body,Winter
Lotus stem kofta curry (Kamal kakdi kofta curry),rasa,tikta,katu,Kapha,Pitta,Shukla,Ritu
Raw banana kofta curry (Kela kofta curry),,,,,,,
Cauliflower kofta curry (Phoolgobhi kofta curry),rasa,tikta,katu,Kapha,Pitta,Shalyakand,Ritu (Autumn)
Cabbage kofta curry (Pattagobhi kofta curry),,,,,,,
Ghiya/Lauki Kofta Curry,rasa,madhura,tikta,kapha,Pitta,Balanced,Monsoon
Spinach paneer kofta curry (Palak paneer kofta curry),,,,,,,
Vegetarian egg kofta curry,,,,,,,
Baked vegetables,,,,,,,
Cauliflower musallam (Phoolgobhi musallam),Rasa: Kapha,Virya: Sheeta (Cold),Vipaka: Madhura (Sweet),Aggravates_Dosha: Kapha,Pacifies_Dosha: Pitta,Region: Head & Chest,Season: Winter
Baked vegetables with spinach ,,,,,,,
Baked potato with skin ,sweet,heating,sweet,Vata,Pitta,Stomach,Winter
Shepherd's pie (vegetarian),rasa,tikta,madhura,aggravates_kapha,pacifies_vata,stomach,winter
Baked brinjal in tomato sauce,,,,,,,
Dum aloo,Rasa: Madhura (sweet),Virya: Sheetta (cold),Vipaka: Madhura (sweet),Aggravates_Dosha: Kapha,Pacifies_Dosha: Vata,Region: Root (Dhanya),Season: Winter
Spinach paneer (Palak paneer),,,,,,,
Methi chaman,,,,,,,
Sarson ka saag,,,,,,,
Jackfruit sabzi (Kathal ki sabzi),sweet,heating,sweet,aggravates Vata and Kapha,pacifies Pitta,tropical,summer
Avial,rasa,madhura,vipakasweet,aggravates-kapha,pacifies-vata,southindia,summer
Al yakhani,sweet,heating,sweet,Pitta,Kapha,Heart,Summer
Shahi paneer,Sweet,heating,sweet,Vata & Kapha (aggravates),Pitta (pacifies),Abdomen,Winter
Paneer in butter sauce,sweet,heavy,sweet,Kapha,Pitta,Chest,Winter
Methi malai paneer,,,,,,,
Chilli paneer,rajas,usna,katu,pitta,kapha,bhujangara,grishma
Paneer makhana korma,,,,,,,
Kadhai Paneer,rasa,tikta,madhura,katu,rajas,Chyavanaprashana,Autumn
Roghan josh,Rasa,Katu,Madhura,Aggravates Vata & Pitta,Pacifies Kapha,Abdomen & Thorax,Winter & Spring
Spinach mutton (Palak mutton),,,,,,,
Pea keema curry (Matar keema ki sabzi),,,,,,,
Keema kofta curry,rasa,tikta,katu,aggravates_vata_pitta,pacifies_kapha,abdomen,winter
Kashmiri mutton koftas (Gushtaba),,,,,,,
Mutton yakhni,,,,,,,
Chicken yakhni,rasa,tikta,katu,Aggravates_Kapha,Pacifies_Vata,Throat,Winter
Mutton do piaza,rasa,Tikta,Katu,Aggravates_Vata,Pacifies_Kapha,Head,Cold
Mutton chops,,,,,,,
Shammi kebab,,,,,,,
Scotch egg,,,,,,,
Shepherd's pie (with minced meat),rasa,tikta,madhura,aggravates_kapha,pacifies_vata,stomach,winter
Chicken curry,Rasa,Tikta (Bitter),Ushna (Hot),Rakta (Pitta),Kapha,Mahasrotra (Head & Neck),Grishma (Summer)
Tandoori chicken,,,,,,,
Butter chicken,sweet,hot,sweet,Pitta+Kapha,Vata,digestive,autumn-winter
Chicken kebab,,,,,,,
Chilli chicken,pungent,hot,pungent,aggravates_Pitta,pacifies_Vata,head & heart,autumn
Fried chicken with tomato sauce (Fried chicken tamatar ki chutney kay saath),,,,,,,
Fish curry (Machli curry),,,,,,,
Fried fish (Indian style) (Tali hui machli),,,,,,,
Fried fish and Chips (English Style) (Tali hui machli aur chips),rasa,tikta,katu,aggravates_vata,pacifies_kapha,Abdomen,Autumn
Tomato fish,rasa,Tikta (sour-tingling),Usna (heating),Rajas,Pitta,Stomach,Summer
Baked fish with cheese sauce,,,,,,,
Fish tikka,,,,,,,
Tandoori fish,,,,,,,
"Paneer, apple and pineapple salad",,,,,,,
Russian salad,,,,,,,
Pasta salad,,,,,,,
Deviled egg,sarira,tikta,katu,Vata+Pitta++Kapha-,Pitta-Kapha+Vata-,Abdomen,Summer
Hawain salad,sarca,katu,madhura,vata,kapha,pratishthana,rainy_season
Mixed pulse and vegetable salad,rasa,Katu,Vipak,Aggravates Kapha,Pacifies Kapha,Abdomen,All Season
Sprouted moong salad ,,,,,,,
Tossed salad,,,,,,,
Mixed vegetable salad with curd sauce,rasa,Madhura,Katu,Aggravates_Kapha,Pacifies_Vata,Abhyantara,All_Seasons
Potato salad (Aloo ka salaad),,,,,,,
Waldroff salad,sarca,katu,madhur,Vatakapha,Pitta,Head,Summer
Coleslaw,sweet,cooling,sweet,Kapha,Pitta,Head/Neck,Summer
Fruit salad (Phalon ka salaad),sweet,slightly cooling,sweet,All Doshas,Pitta,Whole body,All seasons
Tomato onion raita (Tamatar aur pyaaz ka raita),,,,,,,
Peanut raita (Mungfali ka raita),,,,,,,
Sprouted moong raita ,sweet,cool,sweet,vata,pitta,digestive,summer
Bottle gourd raita (Ghiya/Lauki ka raita),rasa,tikta,katu,kapha,Pitta,neutral,monsoon
Cucumber raita (Kheere ka raita),Katu,Sheet,Madhur,Vata & Pitta,Kapha,Sthana (Stomach),Grishma (Summer)
Carrot and spinach raita (Gajar aur palak ka raita),,,,,,,
Mint raita (Pudinay ka raita),,,,,,,
Potato raita (Aloo ka raita),rasa,Madhura (sweet),sheeta (cold),Vata,Kapha,Stomach,Summer
Boondi raita,sweet,mild,sweet,vata+,pitta-,abdomen,hot season
Sweet raita (Meetha raita),Sweet Raita (Meetha raita):sweet,cooling,sweet,increases Kapha,reduces Pitta and Vata,abdomen,summer
Dahi vadas/Dahi bhalla,,,,,,,
Gunjia,Rasa,Tikta,Katu,Vata,Pitta,Lungs,Autumn
Saunth/Sonth chutney with tamarind/imli,,,,,,,
Rice kheer (Chawal ki kheer),Sweet,cooling,sweet,increases Kapha,decreases Vata,digestive,winter
Makhana kheer,sweet,heating,sweet,vata,pitta,lungs/heart,autumn
Vermicelli kheer (Semiya/Seviyan ki kheer),rasa,tikta,madhura,aggravates_kapha,pacifies_vata,abdomen,winter
Semolina kheer (Suji/Rava kheer),sweet,heating,sweet,Vata & Pitta,Balances Kapha,Abdomen,Winter
Paneer kheer,sweety,cooling,sweet,Kapha,Balances Pitta & Vata,Abdomen,Winter
Cabbage kheer (Pattagobhi ki kheer),sweet,cooling,sweet,vata+kapha,pitta-,stomach,winter
Carrot kheer (Gajar ki kheer),sweet,heating,sweet,vata&kapha,pitta,sweet,winter
Cauliflower kheer (Phoolgobhi ki kheer),sweet,cooling,sweet,Vata&Kapha,Pitta,Head & Chest,Winter
Moong dal kheer,sweet,cooling,sweet,vata&kapha,pitta,digestive,winter
Phirni,sweet,cool,stable,increases Kapha,decreases Vata & Pitta,abdomen,summer
Semolina halwa (Suji ka halwa),sweet,heating,sweet,Vata&Kapha,Pitta,digestive,winter
Shahi suji halwa,sweet,heating,sweet,Vata & Pitta,balances Kapha,stomach,winter
Carrot halwa (Gajar ka halwa),sweet,heating,sweet,Vata,Pitta,sweet,Winter
Egg halwa (Ande ka halwa),sweet,heating,sweet,Vata&Kapha,Pitta,sweet dishes,winter
Potato halwa (Aloo ka halwa),sweet,heating,sweet,vata,pitta,stomach,winter
Pumpkin halwa (Kaddu ka halwa),,,,,,,
Moong dal halwa,,,,,,,
Caramel custard (steamed),,,,,,,
Baked custard,sweet,heating,sweet,Vata & Kapha,Pitta,Abdomen,Winter
Soft Custard (stirred),Sweet,Slightly Cooling,Sweet,Increases Kapha,Reduces Pitta,Abdomen,Winter
Chocolate ice cream,sweet,heavy,sweet,Kapha,Vata,Sweet,Winter
Mango ice cream,sweet,cooling,sweet,vata+,kapha-,summer,summer
Fruit Ice cream (Phalon ka Ice cream),sweets,cooling,sweet,Vata&Kapha,Pitta,Sweet,Summer
Caramel ice cream,sweet,cold,sweet,Vata,Kapha,Oral cavity,Summer
Lemon souffle,sweet,heating,pungent,Pitta,Kapha,Digestive,Spring
Orange souffle,sweet,heating,sweet,Pitta,Kapha,Digestive,Summer
Vanilla souffle,sweet,heating,sweet,vata&kapha,pitta,digestive,summer
Chocolate souffle,sweet,heating,sweet,Vata,Kapha,Sweet,Winter
Pineapple souffle ,sweet,heating,sweet,aggravates- Pitta,pacifies- Kapha,digestive,summer
Apple mousse,sweet,cooling,sweet,pitta,kapha,digestive,autumn
Rich chocolate mousse,Sweet,Heating,Sweet,Kapha,Pitta,Heart,Winter
Mango mousse,Sweet,cooling,sweet,aggravates Kapha,pacifies Vata and Pitta,Digestive system,Summer
Orange and pineapple cream,,,,,,,
Charlotte rousse,sweet,heating,sweet,Pitta,Kapha,Heart,Summer
Triffle pudding,sweet,heating,sweet,Vata&Kapha+,Pitta-,Central,Winter
Snow flakes pudding,sweets,cooling,sweet,Vata & Kapha,Pitta,throat,winter
Kulfi,Sweet,Cooling,Sweet,Increases Kapha,Decreases Pitta,Abdomen,Summer
Steamed orange pudding,sweet,heating,sweet,Pitta,Kapha,Digestive,Winter
Meringue and rice pudding,,,,,,,
Cheese pudding,Sweet,Cooling,Sweet,Vata&Kapha(Aggravates),Pitta(Pacifies),Abdomen,Winter
Chocolate pudding,sweet,heavy,sweet,Kapha,Vata,Abdomen,Winter
Bread and butter pudding ,sweet,heating,sweet,Vata+Pitta++,Kapha-,Throat,Winter
Queen of pudding,,,,,,,
Pineapple upside down pudding,rasa,tikta,madhur,kapha,pitta,ushee,summer
Date and nut pie,,,,,,,
Stewed apple with custard,Sweet,Cooling,Sweet,Increases Kapha,Reduces Pitta,Abdomen,Autumn
Apple snowballs,Sweet,Cooling,Sweet,Aggravates Kapha,Pacifies Vata & Pitta,Lungs,Autumn
Hot orange souffle,sweet,heating,sweet,Pitta,Vata,Digestive tract,Winter
Hot chocolate souffle,rasa,Tikta,Ushna,Vata,Kapha,Atta,Winter
Hot vanilla souffle,sweet,heating,sweet,vata,pitta,heart,winter
Plain burfi (Burfi),sweets,sleshak,madhur,Kapha,Pitta,Meda,Winter
Coconut burfi (Nariyal ki burfi),Sweet,heating,sweet,aggravates Vata and Kapha,pacifies Pitta,Sweet dishes (Madya),Warm season
Bottle gourd burfi (Ghiya/Lauki burfi),rasa: madhura (sweet),virya: sheeta (cooling),vipaka: madhura (sweet),aggravates_dosha: kapha,pacifies_dosha: pitta,region: all,season: summer
Chocolate burfi,,,,,,,
Cashewnut burfi (Kaju burfi/Kaju katli),rasa,tikta,madhura,aggravates_vata,pacifies_kapha,throat,winter
Gram flour burfi (Besan burfi),,,,,,,
Semolina ladoo with khoya (Suji/Rava aur khoye ke ladoo ),,,,,,,
Semolina ladoo with coconut (Suji/Rava aur nariyal ke ladoo ),,,,,,,
Gram flour ladoo (Besan ladoo),,,,,,,
Sesame ladoo (Til ke ladoo),Sesame Ladoo (Til ke ladoo): sweet,heavy,sweet,Vata & Kapha,Pitta,head & heart,winter
Chenna murki,,,,,,,
Milk cake,sweet,heavy,sweet,increases Kapha,decreases Vata,head & chest,winter
Ghujia/Lavang latika,rasa,tikta,katu,Vata+Pitta++,Kapha-,Throat,Winter
Gulab Jamun with khoya,,,,,,,
Mal pua,sweet,heating,sweet,Vata&Pitta,Kapha,Head & Chest,Autumn
Shahi tukre,sweet,heating,sweet,aggravates Vata and Kapha,pacifies Kapha,cardiac,winter
Potato pakora/pakoda (Aloo pakoda),rasa,tikta,madhura,aggravates_kapha,pacifies_vata,stomach,cold season
Onion pakora/pakoda (Pyaaz ke pakode),,,,,,,
Cauliflower pakora/pakoda (Phoolgobhi ke pakode),,,,,,,
Mixed vegetable pakora/pakoda,rasa,tikta,madhura,kapha,pitta,vegetables,all_seasons
Spinach pakora/pakoda (Palak pakoda),rasa,katu,madhur,aggravates_kapha,pacifies_vata,lung,winter
Methi pakora/pakoda (Methi ke pakode),,,,,,,
Egg pakora/pakoda (Ande ke pakode),,,,,,,
Bread pakora/pakoda,,,,,,,
Paneer pakora/pakoda,rita,usna,madhura,Kapha,Vata,Stomach,Winter
Potato bonda (Aloo bonda),,,,,,,
Potato samosa (Aloo ka samosa),,,,,,,
Minced meat samosa (Keema ka samosa),,,,,,,
Paneer and pea samosa (Paneer matar ka samosa),,,,,,,
Mathri,rasa,Tikta,Katu,Vata,Pitta,Prasara,Grishma
Khasta kachori,rasa,tikta,katu,vata,kapha,Maha Bhoota (stomach),winter
Vegetable cutlet,rasa,katu,madhur,Vatakapha,Pittarajakapha,Abhyantara,All_Seasons
